Label,Function,SourceFile,ARM_PcodeLines,MIPS_PcodeLines,Match_Ratio,Notes
103,__default_rt_sa_restorer,Unknown,3,515,0.98,P-code行數差異顯著; 低相似度
295,tunable_initialize,Unknown,32,45,19.17,P-code行數差異顯著; 低相似度
342,__parse_one_specmb,Unknown,1039,217,3.16,P-code行數差異顯著; 低相似度
750,___vsnprintf,Unknown,36,15,16.95,P-code行數差異顯著; 低相似度
919,_dl_addr,Unknown,430,157,11.20,P-code行數差異顯著; 低相似度
949,__sync_fetch_and_or_1,Unknown,26,116,7.26,P-code行數差異顯著; 低相似度
643,read_alias_file,Unknown,954,149,7.37,P-code行數差異顯著; 低相似度
280,_dl_allocate_tls_init,Unknown,5,14,41.39,P-code行數差異顯著; 低相似度
341,__get_errname,Unknown,23,40,20.11,P-code行數差異顯著; 低相似度
811,__gconv,Unknown,265,66,11.55,P-code行數差異顯著; 低相似度
693,__translated_number_width,Unknown,66,132,19.59,P-code行數差異顯著; 低相似度
852,_nl_cleanup_time,Unknown,21,33,11.71,P-code行數差異顯著; 低相似度
518,fatal_error,Unknown,79,12,9.02,P-code行數差異顯著; 低相似度
961,__sync_or_and_fetch_2,Unknown,30,74,12.29,P-code行數差異顯著; 低相似度
394,_IO_default_xsputn,Unknown,119,255,14.17,P-code行數差異顯著; 低相似度
398,_IO_default_seekpos,Unknown,23,285,8.48,P-code行數差異顯著; 低相似度
749,__vsnprintf_internal,Unknown,35,28,10.50,低相似度
222,__fstatat64,Unknown,11,23,24.58,P-code行數差異顯著; 低相似度
371,_IO_file_close_mmap,Unknown,16,146,5.61,P-code行數差異顯著; 低相似度
718,_IO_free_wbackup_area,Unknown,41,102,26.50,P-code行數差異顯著; 低相似度
649,__gettext_free_exp,Unknown,28,20,32.22,P-code行數差異顯著; 低相似度
286,_dl_allocate_tls,Unknown,48,80,32.74,P-code行數差異顯著; 低相似度
526,_dl_exception_create_format,Unknown,296,12,4.30,P-code行數差異顯著; 低相似度
152,new_heap,Unknown,34,9,21.23,P-code行數差異顯著; 低相似度
801,do_dlvsym,Unknown,22,29,27.23,P-code行數差異顯著; 低相似度
730,_IO_wdo_write,Unknown,144,95,19.75,P-code行數差異顯著; 低相似度
1026,___Unwind_Backtrace,Unknown,6,10,45.43,P-code行數差異顯著; 低相似度
503,__mmap64,Unknown,47,19,8.54,P-code行數差異顯著; 低相似度
467,__libc_dynarray_at_failure,Unknown,9,28,11.19,P-code行數差異顯著; 低相似度
590,__gconv_get_path,Unknown,1177,152,1.46,P-code行數差異顯著; 低相似度
843,__printf_buffer_as_file_terminate,Unknown,11,5,27.06,P-code行數差異顯著; 低相似度
287,_dl_deallocate_tls,Unknown,55,197,18.22,P-code行數差異顯著; 低相似度
401,_IO_init,Unknown,82,28,9.62,P-code行數差異顯著; 低相似度
417,_IO_marker_difference,Unknown,6,157,7.27,P-code行數差異顯著; 低相似度
437,_IO_str_init_static,Unknown,52,40,18.29,P-code行數差異顯著; 低相似度
527,_dl_exception_free,Unknown,10,12,17.91,低相似度
916,call_init,Unknown,241,217,5.10,低相似度
136,_dl_tunable_set_tcache_max,Unknown,31,18,37.91,P-code行數差異顯著; 低相似度
